experiment,epoch,train_loss,val_loss,val_acc,test_acc,duration_sec
lenet_relu_maxpool,1,2.304875,2.29458,0.171875,-1.0,0.28
lenet_relu_maxpool,1,-1.0,-1.0,0.0,0.140625,0.0
lenet_sigmoid_maxpool,1,2.376222,2.290983,0.109375,-1.0,0.13
lenet_sigmoid_maxpool,1,-1.0,-1.0,0.0,0.078125,0.0
lenet_tanh_maxpool,1,2.306682,2.283542,0.09375,-1.0,0.11
lenet_tanh_maxpool,1,-1.0,-1.0,0.0,0.109375,0.0
lenet_leakyrelu_maxpool,1,2.292383,2.31358,0.046875,-1.0,0.13
lenet_leakyrelu_maxpool,1,-1.0,-1.0,0.0,0.09375,0.0
lenet_relu_avgpool,1,2.311407,2.29932,0.109375,-1.0,0.12
lenet_relu_avgpool,1,-1.0,-1.0,0.0,0.109375,0.0
lenet_sigmoid_avgpool,1,2.315171,2.350965,0.0625,-1.0,0.12
lenet_sigmoid_avgpool,1,-1.0,-1.0,0.0,0.15625,0.0
lenet_tanh_avgpool,1,2.31447,2.251308,0.3125,-1.0,0.14
lenet_tanh_avgpool,1,-1.0,-1.0,0.0,0.265625,0.0
lenet_leakyrelu_avgpool,1,2.304648,2.285997,0.25,-1.0,0.15
lenet_leakyrelu_avgpool,1,-1.0,-1.0,0.0,0.171875,0.0
lenet_relu_maxpool,1,0.271888,0.097536,0.970333,-1.0,2.38
lenet_relu_maxpool,2,0.079544,0.070376,0.9785,-1.0,2.28
lenet_relu_maxpool,3,0.058365,0.051875,0.985167,-1.0,2.31
lenet_relu_maxpool,4,0.045354,0.05688,0.982833,-1.0,2.29
lenet_relu_maxpool,5,0.036472,0.058272,0.982167,-1.0,2.31
lenet_relu_maxpool,6,0.031239,0.039782,0.9895,-1.0,2.29
lenet_relu_maxpool,7,0.026366,0.04612,0.985,-1.0,2.32
lenet_relu_maxpool,8,0.022587,0.047904,0.986167,-1.0,2.33
lenet_relu_maxpool,9,0.020282,0.047178,0.987,-1.0,2.32
lenet_relu_maxpool,10,0.018029,0.049103,0.987167,-1.0,2.3
lenet_relu_maxpool,11,0.013746,0.04547,0.986167,-1.0,2.32
lenet_relu_maxpool,12,0.01364,0.049629,0.987,-1.0,2.36
lenet_relu_maxpool,13,0.013406,0.053394,0.9865,-1.0,2.33
lenet_relu_maxpool,14,0.012968,0.055602,0.987667,-1.0,2.36
lenet_relu_maxpool,15,0.011302,0.054146,0.9865,-1.0,2.36
lenet_relu_maxpool,15,-1.0,-1.0,0.9895,0.9876,0.0
lenet_sigmoid_maxpool,1,0.931854,0.268286,0.926667,-1.0,2.28
lenet_sigmoid_maxpool,2,0.179891,0.154055,0.953,-1.0,2.29
lenet_sigmoid_maxpool,3,0.114064,0.100255,0.9695,-1.0,2.4
lenet_sigmoid_maxpool,4,0.08667,0.081309,0.974333,-1.0,2.28
lenet_sigmoid_maxpool,5,0.070449,0.075323,0.976167,-1.0,2.31
lenet_sigmoid_maxpool,6,0.059685,0.07396,0.977167,-1.0,2.27
lenet_sigmoid_maxpool,7,0.051875,0.062231,0.98,-1.0,2.32
lenet_sigmoid_maxpool,8,0.045649,0.053962,0.984,-1.0,2.27
lenet_sigmoid_maxpool,9,0.041583,0.056176,0.983,-1.0,2.3
lenet_sigmoid_maxpool,10,0.035199,0.056712,0.982,-1.0,2.33
lenet_sigmoid_maxpool,11,0.033205,0.048529,0.984833,-1.0,2.3
lenet_sigmoid_maxpool,12,0.030397,0.055749,0.983167,-1.0,2.3
lenet_sigmoid_maxpool,13,0.026455,0.04356,0.986833,-1.0,2.3
lenet_sigmoid_maxpool,14,0.024544,0.046817,0.986333,-1.0,2.28
lenet_sigmoid_maxpool,15,0.021409,0.046735,0.985167,-1.0,2.27
lenet_sigmoid_maxpool,15,-1.0,-1.0,0.986833,0.9869,0.0
lenet_tanh_maxpool,1,0.234381,0.075723,0.978167,-1.0,2.31
lenet_tanh_maxpool,2,0.062678,0.056886,0.983833,-1.0,2.3
lenet_tanh_maxpool,3,0.042116,0.053785,0.984167,-1.0,2.29
lenet_tanh_maxpool,4,0.030621,0.047492,0.986333,-1.0,2.31
lenet_tanh_maxpool,5,0.022668,0.042542,0.989167,-1.0,2.36
lenet_tanh_maxpool,6,0.018173,0.051097,0.985,-1.0,2.29
